date,gold_close,gold_source
2017-08-09,1276.1866135318,AlphaVantage:GOLD:daily
2017-08-10,1286.562510861,AlphaVantage:GOLD:daily
2017-08-11,1288.8925695943,AlphaVantage:GOLD:daily
2017-08-12,1288.9338583591,AlphaVantage:GOLD:daily
2017-08-13,1288.7760493859,AlphaVantage:GOLD:daily
2017-08-14,1279.9965083793,AlphaVantage:GOLD:daily
2017-08-15,1272.1799799329,AlphaVantage:GOLD:daily
2017-08-16,1283.2086694748,AlphaVantage:GOLD:daily
2017-08-17,1288.29307519,AlphaVantage:GOLD:daily
2017-08-18,1284.1500724357,AlphaVantage:GOLD:daily
2017-08-19,1284.175110118,AlphaVantage:GOLD:daily
2017-08-20,1283.5487555995,AlphaVantage:GOLD:daily
2017-08-21,1291.458313497,AlphaVantage:GOLD:daily
2017-08-22,1283.7761023052,AlphaVantage:GOLD:daily
2017-08-23,1290.224833046,AlphaVantage:GOLD:daily
2017-08-24,1286.6292289461,AlphaVantage:GOLD:daily
2017-08-25,1290.8526135725,AlphaVantage:GOLD:daily
2017-08-26,1290.7639386371,AlphaVantage:GOLD:daily
2017-08-27,1292.3486498187,AlphaVantage:GOLD:daily
2017-08-28,1314.9300122518,AlphaVantage:GOLD:daily
2017-08-29,1309.0393672076,AlphaVantage:GOLD:daily
2017-08-30,1307.6421565874,AlphaVantage:GOLD:daily
2017-08-31,1321.272409004,AlphaVantage:GOLD:daily
2017-09-01,1324.6834520285,AlphaVantage:GOLD:daily
2017-09-02,1324.7401853312,AlphaVantage:GOLD:daily
2017-09-03,1336.549963579,AlphaVantage:GOLD:daily
2017-09-04,1333.4775599352,AlphaVantage:GOLD:daily
2017-09-05,1340.7802535194,AlphaVantage:GOLD:daily
2017-09-06,1333.5347997552,AlphaVantage:GOLD:daily
2017-09-07,1349.1454603877,AlphaVantage:GOLD:daily
2017-09-08,1346.2809773683,AlphaVantage:GOLD:daily
2017-09-09,1346.2664665217,AlphaVantage:GOLD:daily
2017-09-10,1338.3835004082,AlphaVantage:GOLD:daily
2017-09-11,1326.8671054159,AlphaVantage:GOLD:daily
2017-09-12,1331.3923948271,AlphaVantage:GOLD:daily
2017-09-13,1322.6442476973,AlphaVantage:GOLD:daily
2017-09-14,1332.3313777605,AlphaVantage:GOLD:daily
2017-09-15,1320.1066388871,AlphaVantage:GOLD:daily
2017-09-16,1320.550405409,AlphaVantage:GOLD:daily
2017-09-17,1316.0405603701,AlphaVantage:GOLD:daily
2017-09-18,1308.1428061086,AlphaVantage:GOLD:daily
2017-09-19,1310.8955832003,AlphaVantage:GOLD:daily
2017-09-20,1299.5679540887,AlphaVantage:GOLD:daily
2017-09-21,1291.6740669462,AlphaVantage:GOLD:daily
2017-09-22,1297.0886904115,AlphaVantage:GOLD:daily
2017-09-23,1297.143042449,AlphaVantage:GOLD:daily
2017-09-24,1292.0230496912,AlphaVantage:GOLD:daily
2017-09-25,1309.1567680704,AlphaVantage:GOLD:daily
2017-09-26,1293.5214599103,AlphaVantage:GOLD:daily
2017-09-27,1282.6867086413,AlphaVantage:GOLD:daily
2017-09-28,1286.9818986165,AlphaVantage:GOLD:daily
2017-09-29,1279.4870025952,AlphaVantage:GOLD:daily
2017-09-30,1279.6805917243,AlphaVantage:GOLD:daily
2017-10-01,1278.4372383199,AlphaVantage:GOLD:daily
2017-10-02,1270.8604182148,AlphaVantage:GOLD:daily
2017-10-03,1272.1401031946,AlphaVantage:GOLD:daily
2017-10-04,1274.0647432589,AlphaVantage:GOLD:daily
2017-10-05,1268.6269971374,AlphaVantage:GOLD:daily
2017-10-06,1276.3137475053,AlphaVantage:GOLD:daily
2017-10-07,1276.8212258761,AlphaVantage:GOLD:daily
2017-10-08,1276.8619839882,AlphaVantage:GOLD:daily
2017-10-09,1283.6218759366,AlphaVantage:GOLD:daily
2017-10-10,1289.161968734,AlphaVantage:GOLD:daily
2017-10-11,1292.1100998097,AlphaVantage:GOLD:daily
2017-10-12,1293.7246464003,AlphaVantage:GOLD:daily
2017-10-13,1304.0218986941,AlphaVantage:GOLD:daily
2017-10-14,1303.7979634676,AlphaVantage:GOLD:daily
2017-10-15,1304.0700024777,AlphaVantage:GOLD:daily
2017-10-16,1294.8070532363,AlphaVantage:GOLD:daily
2017-10-17,1285.4212832053,AlphaVantage:GOLD:daily
2017-10-18,1280.5297982204,AlphaVantage:GOLD:daily
2017-10-19,1289.9705316066,AlphaVantage:GOLD:daily
2017-10-20,1280.4815233908,AlphaVantage:GOLD:daily
2017-10-21,1280.5572985363,AlphaVantage:GOLD:daily
2017-10-22,1275.3068707158,AlphaVantage:GOLD:daily
2017-10-23,1282.1576061016,AlphaVantage:GOLD:daily
2017-10-24,1275.8810172149,AlphaVantage:GOLD:daily
2017-10-25,1278.4131454444,AlphaVantage:GOLD:daily
2017-10-26,1267.1518439724,AlphaVantage:GOLD:daily
2017-10-27,1273.337698858,AlphaVantage:GOLD:daily
2017-10-28,1273.7068691011,AlphaVantage:GOLD:daily
2017-10-29,1272.361757895,AlphaVantage:GOLD:daily
2017-10-30,1276.7777236541,AlphaVantage:GOLD:daily
2017-10-31,1270.627431561,AlphaVantage:GOLD:daily
2017-11-01,1274.9284663292,AlphaVantage:GOLD:daily
2017-11-02,1276.8464061268,AlphaVantage:GOLD:daily
2017-11-03,1270.1334581217,AlphaVantage:GOLD:daily
2017-11-04,1270.4704552096,AlphaVantage:GOLD:daily
2017-11-05,1270.6399578148,AlphaVantage:GOLD:daily
2017-11-06,1280.66692757,AlphaVantage:GOLD:daily
2017-11-07,1276.7691356588,AlphaVantage:GOLD:daily
2017-11-08,1281.6432513873,AlphaVantage:GOLD:daily
2017-11-09,1285.4656625859,AlphaVantage:GOLD:daily
2017-11-10,1275.8073444719,AlphaVantage:GOLD:daily
2017-11-11,1275.6810542228,AlphaVantage:GOLD:daily
2017-11-12,1275.3719303392,AlphaVantage:GOLD:daily
2017-11-13,1277.5626317677,AlphaVantage:GOLD:daily
2017-11-14,1280.6799323445,AlphaVantage:GOLD:daily
2017-11-15,1278.8914004715,AlphaVantage:GOLD:daily
2017-11-16,1278.8553543529,AlphaVantage:GOLD:daily
2017-11-17,1294.0458170568,AlphaVantage:GOLD:daily
2017-11-18,1293.9037723764,AlphaVantage:GOLD:daily
2017-11-19,1293.5522886174,AlphaVantage:GOLD:daily
2017-11-20,1278.2698351476,AlphaVantage:GOLD:daily
2017-11-21,1281.4872984014,AlphaVantage:GOLD:daily
2017-11-22,1291.1201008735,AlphaVantage:GOLD:daily
2017-11-23,1291.4483110704,AlphaVantage:GOLD:daily
2017-11-24,1288.2171053755,AlphaVantage:GOLD:daily
2017-11-25,1288.4107453456,AlphaVantage:GOLD:daily
2017-11-26,1287.233220915,AlphaVantage:GOLD:daily
2017-11-27,1294.7694363016,AlphaVantage:GOLD:daily
2017-11-28,1293.6886686905,AlphaVantage:GOLD:daily
2017-11-29,1283.7873217631,AlphaVantage:GOLD:daily
2017-11-30,1274.9748350246,AlphaVantage:GOLD:daily
2017-12-01,1280.3911234109,AlphaVantage:GOLD:daily
2017-12-02,1280.4917088162,AlphaVantage:GOLD:daily
2017-12-03,1273.9096925419,AlphaVantage:GOLD:daily
2017-12-04,1276.6320970764,AlphaVantage:GOLD:daily
2017-12-05,1266.1028030638,AlphaVantage:GOLD:daily
2017-12-06,1264.0270789308,AlphaVantage:GOLD:daily
2017-12-07,1246.7817290309,AlphaVantage:GOLD:daily
2017-12-08,1248.1349880116,AlphaVantage:GOLD:daily
2017-12-09,1248.3225665512,AlphaVantage:GOLD:daily
2017-12-10,1248.5329737558,AlphaVantage:GOLD:daily
2017-12-11,1242.3454627944,AlphaVantage:GOLD:daily
2017-12-12,1243.5451641906,AlphaVantage:GOLD:daily
2017-12-13,1254.6905029104,AlphaVantage:GOLD:daily
2017-12-14,1253.1669889105,AlphaVantage:GOLD:daily
2017-12-15,1255.0681316775,AlphaVantage:GOLD:daily
2017-12-16,1255.0122049937,AlphaVantage:GOLD:daily
2017-12-17,1254.3352963681,AlphaVantage:GOLD:daily
2017-12-18,1261.2850824723,AlphaVantage:GOLD:daily
2017-12-19,1262.0969011781,AlphaVantage:GOLD:daily
2017-12-20,1266.0069125766,AlphaVantage:GOLD:daily
2017-12-21,1267.0348029657,AlphaVantage:GOLD:daily
2017-12-22,1275.2208359663,AlphaVantage:GOLD:daily
2017-12-23,1275.526473552,AlphaVantage:GOLD:daily
2017-12-24,1275.2418177297,AlphaVantage:GOLD:daily
2017-12-25,1274.6160219234,AlphaVantage:GOLD:daily
2017-12-26,1282.4911359838,AlphaVantage:GOLD:daily
2017-12-27,1287.2361262816,AlphaVantage:GOLD:daily
2017-12-28,1294.2024747011,AlphaVantage:GOLD:daily
2017-12-29,1302.431670445,AlphaVantage:GOLD:daily
2017-12-30,1302.431670445,AlphaVantage:GOLD:daily
2017-12-31,1302.4649148514,AlphaVantage:GOLD:daily
2018-01-01,1307.0186903673,AlphaVantage:GOLD:daily
2018-01-02,1319.8279531883,AlphaVantage:GOLD:daily
2018-01-03,1311.5018622742,AlphaVantage:GOLD:daily
2018-01-04,1321.6353711678,AlphaVantage:GOLD:daily
2018-01-05,1319.589185444,AlphaVantage:GOLD:daily
2018-01-06,1319.4788058717,AlphaVantage:GOLD:daily
2018-01-07,1319.4265772095,AlphaVantage:GOLD:daily
2018-01-08,1318.8003639637,AlphaVantage:GOLD:daily
2018-01-09,1311.1955019387,AlphaVantage:GOLD:daily
2018-01-10,1317.3951930487,AlphaVantage:GOLD:daily
2018-01-11,1322.6608366047,AlphaVantage:GOLD:daily
2018-01-12,1337.6528906933,AlphaVantage:GOLD:daily
2018-01-13,1337.6528906933,AlphaVantage:GOLD:daily
2018-01-14,1337.014580144,AlphaVantage:GOLD:daily
2018-01-15,1341.1908900024,AlphaVantage:GOLD:daily
2018-01-16,1339.9600956946,AlphaVantage:GOLD:daily
2018-01-17,1328.0914684502,AlphaVantage:GOLD:daily
2018-01-18,1327.7198995865,AlphaVantage:GOLD:daily
2018-01-19,1331.5322508165,AlphaVantage:GOLD:daily
2018-01-20,1331.5933846441,AlphaVantage:GOLD:daily
2018-01-21,1334.9263454389,AlphaVantage:GOLD:daily
2018-01-22,1333.4199720275,AlphaVantage:GOLD:daily
2018-01-23,1341.7496252584,AlphaVantage:GOLD:daily
2018-01-24,1357.0557377921,AlphaVantage:GOLD:daily
2018-01-25,1347.3563627683,AlphaVantage:GOLD:daily
