date,trend_tariff,trend_inflation,trend_war,trend_tariff_ma_7d,trend_tariff_ma_20d,trend_tariff_z_60d,trend_tariff_spike,trend_inflation_ma_7d,trend_inflation_ma_20d,trend_inflation_z_60d,trend_inflation_spike,trend_war_ma_7d,trend_war_ma_20d,trend_war_z_60d,trend_war_spike
2025-03-21,25.0,44.266666666666666,26.958228905597323,25.0,24.0,0.5011811970158057,0,44.266666666666666,36.93333333333333,2.1284796768464416,1,26.958228905597323,28.969047619047622,0.047956341283919915,0
2025-03-22,10.0,28.266666666666666,27.400167084377607,22.857142857142858,24.0,-0.7639642652963838,0,41.98095238095238,36.64,-1.572424538020264,0,27.021362931137364,28.836466165413533,0.22984059310502605,0
2025-03-23,10.0,28.266666666666666,27.400167084377607,20.714285714285715,24.0,-0.7764027999513727,0,39.695238095238096,36.346666666666664,-1.5472833980445666,0,27.084496956677405,28.703884711779445,0.2056245927646322,0
2025-03-24,10.0,28.266666666666666,27.400167084377607,18.571428571428573,24.0,-0.7890980240189982,0,37.40952380952381,36.05333333333333,-1.5229558540474912,0,27.147630982217446,28.57130325814536,0.18073334142692987,0
2025-03-25,10.0,28.266666666666666,27.400167084377607,16.428571428571427,24.0,-0.8020612075679516,0,35.12380952380952,35.76,-1.4993950392980375,0,27.210765007757484,28.43872180451127,0.15504702805289777,0
2025-03-26,10.0,28.266666666666666,27.400167084377607,14.285714285714286,24.0,-0.8070193782762335,0,32.83809523809524,35.46666666666666,-1.453570071639038,0,27.27389903329753,28.306140350877193,0.1255169827316452,0
2025-03-27,10.0,28.266666666666666,27.400167084377607,12.142857142857142,24.0,-0.8120157785461533,0,30.55238095238095,35.17333333333333,-1.4102738366159528,0,27.337033058837566,28.173558897243105,0.09435200590599573,0
2025-03-28,10.0,28.266666666666666,27.400167084377607,10.0,22.75,-0.8170510374120883,0,28.266666666666666,34.986666666666665,-1.3692521046644353,0,27.400167084377607,28.040977443609016,0.06117765030821913,0
2025-03-29,16.0,30.4,28.72598162071846,10.857142857142858,21.8,-0.3113044253371095,0,28.571428571428573,34.906666666666666,-0.8993952076274303,0,27.58956916099773,27.97468671679198,0.7737073107269361,0
2025-03-30,16.0,30.4,28.72598162071846,11.714285714285714,20.85,-0.3255188665334725,0,28.876190476190477,34.82666666666667,-0.8825552884689805,0,27.77897123761785,27.908395989974935,0.753684719674307,0
2025-03-31,16.0,30.4,28.72598162071846,12.571428571428571,19.9,-0.34003233680323447,0,29.18095238095238,34.74666666666666,-0.8660688342604208,0,27.968373314237972,27.84210526315789,0.7356254338629937,0
2025-04-01,16.0,30.4,28.72598162071846,13.428571428571429,18.95,-0.35486323957709226,0,29.485714285714288,34.666666666666664,-0.8499187927809472,0,28.157775390858095,27.775814536340853,0.7201607258387684,0
2025-04-02,16.0,30.4,28.72598162071846,14.285714285714286,18.0,-0.3470728443023852,0,29.790476190476188,34.586666666666666,-0.8468224718431104,0,28.347177467478218,27.70952380952381,0.6944372003536994,0
2025-04-03,16.0,30.4,28.72598162071846,15.142857142857142,17.05,-0.339316892144752,0,30.095238095238095,34.50666666666667,-0.8437400473253528,0,28.536579544098338,27.643233082706764,0.6690587159438323,0
2025-04-04,16.0,30.4,28.72598162071846,16.0,16.6,-0.3315939072475043,0,30.4,33.81333333333333,-0.8406713852660469,0,28.72598162071846,27.731620718462818,0.6439721022106171,0
2025-04-05,88.0,35.73333333333333,27.400167084377607,26.285714285714285,19.75,4.709983004115845,1,31.161904761904758,33.38666666666667,0.24275875767848,0,28.53657954409834,27.753717627401834,-0.27253857885836774,0
2025-04-06,88.0,35.73333333333333,27.400167084377607,36.57142857142857,22.9,3.9574547286416233,1,31.92380952380952,32.96,0.22721152430574781,0,28.347177467478218,27.775814536340853,-0.2909886693002863,0
2025-04-07,88.0,35.73333333333333,27.400167084377607,46.857142857142854,26.05,3.464819886608648,1,32.68571428571428,32.53333333333333,0.2115898217283275,0,28.15777539085809,27.797911445279862,-0.3099858145331087,0
2025-04-08,88.0,35.73333333333333,27.400167084377607,57.142857142857146,29.2,3.1089836649168547,1,33.44761904761904,32.10666666666667,0.19587913670100726,0,27.968373314237972,27.820008354218878,-0.32957653080158195,0
2025-04-09,88.0,35.73333333333333,27.400167084377607,67.42857142857143,32.35,2.8600413205254176,1,34.2095238095238,31.679999999999996,0.18670856159525923,0,27.77897123761785,27.84210526315789,-0.3424108507697086,0
2025-04-10,88.0,35.73333333333333,27.400167084377607,77.71428571428571,35.5,2.657017239522807,1,34.97142857142857,31.25333333333333,0.1775384254232538,0,27.589569160997733,27.864202172096906,-0.3554836853891393,0
2025-04-11,88.0,35.73333333333333,27.400167084377607,88.0,39.4,2.487013528050902,1,35.73333333333333,31.626666666666665,0.168366306976183,0,27.400167084377607,27.864202172096906,-0.36880801208457875,0
2025-04-12,100.0,36.8,26.958228905597323,89.71428571428571,43.9,2.7427239681797935,1,35.88571428571428,32.05333333333333,0.37979267646575215,0,27.337033058837566,27.84210526315789,-0.6980982405581138,0
2025-04-13,100.0,36.8,26.958228905597323,91.42857142857143,48.4,2.553229993152342,1,36.03809523809524,32.48,0.3667923537469358,0,27.27389903329752,27.820008354218878,-0.7068028337617406,0
2025-04-14,100.0,36.8,26.958228905597323,93.14285714285714,52.9,2.393404258965901,1,36.19047619047618,32.906666666666666,0.35384703634360976,0,27.210765007757487,27.79791144527987,-0.7156279661527343,0
2025-04-15,100.0,36.8,26.958228905597323,94.85714285714286,57.4,2.2559892605333123,1,36.34285714285714,33.33333333333333,0.3409500849993128,0,27.147630982217443,27.775814536340846,-0.724577342187687,0
2025-04-16,100.0,36.8,26.958228905597323,96.57142857142857,61.9,2.1269893592559446,1,36.49523809523809,33.76,0.3549756000281682,0,27.084496956677405,27.753717627401834,-0.744240752469107,0
2025-04-17,100.0,36.8,26.958228905597323,98.28571428571429,66.4,2.0137145980571414,1,36.647619047619045,34.18666666666666,0.3692971826237601,0,27.02136293113736,27.731620718462818,-0.7645867695097297,0
2025-04-18,100.0,36.8,26.958228905597323,100.0,70.6,1.9130281415899386,0,36.8,34.50666666666666,0.38393252959121066,0,26.958228905597323,27.643233082706764,-0.7856659435148273,0
2025-04-19,36.0,26.666666666666664,26.07435254803676,90.85714285714286,71.6,0.020163036868285297,0,35.35238095238095,34.31999999999999,-1.727990210022304,0,26.83196085451724,27.51065162907268,-1.4639387005060378,0
2025-04-20,36.0,26.666666666666664,26.07435254803676,81.71428571428571,72.6,0.008885325639777826,0,33.904761904761905,34.13333333333333,-1.658007315756005,0,26.705692803437163,27.37807017543859,-1.4639387005060378,0
2025-04-21,36.0,26.666666666666664,26.07435254803676,72.57142857142857,73.6,-0.002477817313200599,0,32.457142857142856,33.946666666666665,-1.593606151095221,0,26.57942475235708,27.24548872180451,-1.4639387005060405,0
2025-04-22,36.0,26.666666666666664,26.07435254803676,63.42857142857143,74.6,-0.013932433318214955,0,31.009523809523806,33.76,-1.5340392280762865,0,26.453156701277003,27.11290726817042,-1.4639387005060405,0
2025-04-23,36.0,26.666666666666664,26.07435254803676,54.285714285714285,75.6,-0.02803976863321378,0,29.561904761904763,33.57333333333333,-1.4758834713932396,0,26.326888650196924,26.980325814536343,-1.423921573344121,0
2025-04-24,36.0,26.666666666666664,26.07435254803676,45.142857142857146,76.6,-0.04233558018559154,0,28.11428571428571,33.38666666666666,-1.4215321559855874,0,26.200620599116842,26.847744360902254,-1.3858813639355347,0
2025-04-25,36.0,26.666666666666664,26.07435254803676,36.0,74.0,-0.05683434511997161,0,26.666666666666664,32.93333333333332,-1.3705215536523456,0,26.07435254803676,26.78145363408521,-1.3496397171592593,0
2025-04-26,26.0,27.2,26.516290726817044,34.57142857142857,70.9,-0.3726598226556785,0,26.74285714285714,32.50666666666666,-1.2241079810169642,0,26.1374865735768,26.73725981620718,-1.0072560970717765,0
2025-04-27,26.0,27.2,26.516290726817044,33.142857142857146,67.8,-0.38420000593064046,0,26.819047619047616,32.08,-1.1839309036990104,0,26.200620599116842,26.693065998329153,-0.989232677882696,0
2025-04-28,26.0,27.2,26.516290726817044,31.714285714285715,64.7,-0.39593323950315157,0,26.895238095238092,31.65333333333333,-1.1455675761120812,0,26.263754624656883,26.64887218045113,-0.9716333595344614,0
2025-04-29,26.0,27.2,26.516290726817044,30.285714285714285,61.6,-0.4078686788402388,0,26.97142857142857,31.226666666666667,-1.1088424527515843,0,26.326888650196924,26.6046783625731,-0.95443708203627,0
2025-04-30,26.0,27.2,26.516290726817044,28.857142857142858,58.5,-0.41854366250995506,0,27.047619047619044,30.799999999999994,-1.0765926128407428,0,26.390022675736965,26.560484544695072,-0.9254112147934875,0
2025-05-01,26.0,27.2,26.516290726817044,27.428571428571427,55.4,-0.4293847481414083,0,27.12380952380952,30.373333333333328,-1.0455417170307497,0,26.453156701277003,26.516290726817044,-0.8974384168090506,0
2025-05-02,26.0,27.2,26.516290726817044,26.0,51.7,-0.44039905780234295,0,27.2,29.893333333333334,-1.0155912609365023,0,26.516290726817044,26.494193817878028,-0.8704859632644484,0
2025-05-03,32.0,32.0,29.167919799498744,26.857142857142858,48.3,-0.2633808655018362,0,27.88571428571429,29.653333333333336,-0.13308402619150006,0,26.895094880057286,26.6046783625731,1.142623991750643,0
2025-05-04,32.0,32.0,29.167919799498744,27.714285714285715,44.9,-0.2771716198900726,0,28.571428571428573,29.413333333333334,-0.1266464136662548,0,27.273899033297532,26.715162907268173,1.1738456157847668,0
2025-05-05,32.0,32.0,29.167919799498744,28.571428571428573,41.5,-0.2912291752250346,0,29.25714285714286,29.173333333333336,-0.12020846012834736,0,27.65270318653777,26.825647451963242,1.2067111834439856,0
2025-05-06,32.0,32.0,29.167919799498744,29.428571428571427,38.1,-0.30556979255265515,0,29.942857142857147,28.933333333333337,-0.11376933881568937,0,28.031507339778017,26.93613199665831,1.241388245521912,0
2025-05-07,32.0,32.0,29.167919799498744,30.285714285714285,34.7,-0.3038035481932893,0,30.62857142857143,28.693333333333335,-0.11376933881568937,0,28.41031149301826,27.04661654135338,1.278069427944354,0
2025-05-08,32.0,32.0,29.167919799498744,31.142857142857142,31.3,-0.30203968185626234,0,31.314285714285717,28.453333333333337,-0.11376933881568937,0,28.7891156462585,27.157101086048453,1.3169774953305722,0
2025-05-09,32.0,32.0,29.167919799498744,32.0,31.1,-0.30027817408238017,0,32.0,28.720000000000006,-0.11376933881568937,0,29.167919799498744,27.311779448621554,1.3583717256975412,0
2025-05-10,26.0,28.266666666666666,38.890559732665,31.142857142857142,30.6,-0.49071417819642194,0,31.466666666666665,28.8,-0.7809584836609768,0,30.55686836137964,27.952589807852963,6.042132234300114,1
2025-05-11,26.0,28.266666666666666,38.890559732665,30.285714285714285,30.1,-0.48499421988965635,0,30.933333333333334,28.880000000000003,-0.765808884027504,0,31.945816923260534,28.593400167084376,4.735328332879792,1
2025-05-12,26.0,28.266666666666666,38.890559732665,29.428571428571427,29.6,-0.4793066046969706,0,30.4,28.96,-0.7509237011665085,0,33.334765485141425,29.234210526315785,4.004603441590612,1
2025-05-13,26.0,28.266666666666666,38.890559732665,28.571428571428573,29.1,-0.4736506460668308,0,29.866666666666667,29.04,-0.7362907747704227,0,34.72371404702232,29.8750208855472,3.5202035610753803,1
2025-05-14,26.0,28.266666666666666,38.890559732665,27.714285714285715,28.6,-0.4743199634175259,0,29.333333333333332,29.119999999999997,-0.7139985898206304,0,36.112662608903214,30.51583124477861,3.1499226303296752,1
2025-05-15,26.0,28.266666666666666,38.890559732665,26.857142857142858,28.1,-0.47498981853778127,0,28.8,29.2,-0.6928912244512379,0,37.5016111707841,31.156641604010026,2.86743939851146,1
2025-05-16,26.0,28.266666666666666,38.890559732665,26.0,28.1,-0.475660212753414,0,28.266666666666666,29.25333333333333,-0.6732500640423406,0,38.890559732665,31.775355054302423,2.6421365843872353,1
2025-05-17,23.0,34.133333333333326,29.167919799498744,25.571428571428573,27.95,-0.5717522862617911,0,29.104761904761904,29.599999999999994,0.5888830941681363,0,37.5016111707841,31.907936507936505,0.09625405234012199,0
2025-05-18,23.0,34.133333333333326,29.167919799498744,25.142857142857142,27.8,-0.5703311714323182,0,29.94285714285714,29.946666666666665,0.6689059029554387,0,36.11266260890321,32.040517961570586,0.0867964552986098,0
2025-05-19,23.0,34.133333333333326,29.167919799498744,24.714285714285715,27.65,-0.5689126167095623,0,30.780952380952378,30.29333333333333,0.7666089205237828,0,34.72371404702232,32.173099415204675,0.07730977884118274,0
2025-05-20,23.0,34.133333333333326,29.167919799498744,24.285714285714285,27.5,-0.5674966094583519,0,31.619047619047613,30.639999999999997,0.8912469670376948,0,33.334765485141425,32.30568086883876,0.06779106980250689,0
2025-05-21,23.0,34.133333333333326,29.167919799498744,23.857142857142858,27.35,-0.577759245934516,0,32.45714285714285,30.98666666666666,0.8626664330282076,0,31.945816923260534,32.43826232247285,0.0601233955465857,0
2025-05-22,23.0,34.133333333333326,29.167919799498744,23.428571428571427,27.2,-0.5881872455677618,0,33.29523809523808,31.333333333333325,0.8348090377876969,0,30.55686836137964,32.57084377610693,0.052438604510969995,0
2025-05-23,23.0,34.133333333333326,29.167919799498744,23.0,26.75,-0.5987869752899984,0,34.133333333333326,31.43999999999999,0.8076086430542875,0,29.167919799498744,32.57084377610694,0.04473517883624845,0
2025-05-24,12.0,27.73333333333333,25.63241436925647,21.428571428571427,25.75,-0.9638612521689173,0,33.21904761904761,31.22666666666666,-0.9446352526542647,0,28.66284759517842,32.39406850459481,-0.8765811471081535,0
2025-05-25,12.0,27.73333333333333,25.63241436925647,19.857142857142858,24.75,-0.9660415794820333,0,32.3047619047619,31.01333333333333,-0.9401767564664228,0,28.157775390858095,32.21729323308271,-0.8644933514718938,0
2025-05-26,12.0,27.73333333333333,25.63241436925647,18.285714285714285,23.75,-0.9682292030495149,0,31.390476190476186,30.799999999999994,-0.9357472645499569,0,27.652703186537767,32.040517961570586,-0.8525979804241813,0
2025-05-27,12.0,27.73333333333333,25.63241436925647,16.714285714285715,22.75,-0.970424172001321,0,30.476190476190474,30.586666666666662,-0.9313463888116981,0,27.147630982217443,31.86374269005848,-0.8408881863830822,0
2025-05-28,12.0,27.73333333333333,25.63241436925647,15.142857142857142,21.75,-0.9662564615852088,0,29.56190476190476,30.373333333333328,-0.9129566608557015,0,26.64255877789712,31.686967418546363,-0.822710698865519,0
2025-05-29,12.0,27.73333333333333,25.63241436925647,13.571428571428571,20.75,-0.9621142350949938,0,28.64761904761904,30.15999999999999,-0.894988023623627,0,26.13748657357679,31.510192147034253,-0.8049137557424704,0
2025-05-30,12.0,27.73333333333333,25.63241436925647,12.0,20.05,-0.9579971758278936,0,27.73333333333333,30.133333333333326,-0.877418662814856,0,25.63241436925647,30.847284878863825,-0.7874770600596217,0
2025-05-31,14.0,27.73333333333333,23.864661654135332,12.285714285714286,19.45,-0.8901666877965805,0,27.73333333333333,30.106666666666662,-0.860228203836761,0,25.379878267096306,30.095989974937346,-1.2016025391128329,0
2025-06-01,14.0,27.73333333333333,23.864661654135332,12.571428571428571,18.85,-0.8882212912090108,0,27.73333333333333,30.079999999999995,-0.8433975877117971,0,25.127342164936145,29.344695071010857,-1.1672871009722972,0
2025-06-02,14.0,27.73333333333333,23.864661654135332,12.857142857142858,18.25,-0.886281490150463,0,27.73333333333333,30.05333333333333,-0.8269089597049055,0,24.87480606277598,28.593400167084376,-1.1343837744034397,0
2025-06-03,14.0,27.73333333333333,23.864661654135332,13.142857142857142,17.65,-0.8843472509348139,0,27.73333333333333,30.026666666666664,-0.8107455691503114,0,24.62226996061582,27.84210526315789,-1.1027737736006233,0
2025-06-04,14.0,27.73333333333333,23.864661654135332,13.428571428571429,17.05,-0.8563020441106768,0,27.73333333333333,30.0,-0.7829187898473026,0,24.369733858455657,27.09081035923141,-1.0780458926632905,0
2025-06-05,14.0,27.73333333333333,23.864661654135332,13.714285714285714,16.45,-0.8290701342206915,0,27.73333333333333,29.97333333333333,-0.7556145531885433,0,24.117197756295496,26.339515455304927,-1.0540925533894785,0
2025-06-06,14.0,27.73333333333333,23.864661654135332,14.0,16.0,-0.8026122600033558,0,27.73333333333333,29.65333333333333,-0.7287683702621366,0,23.864661654135332,26.074352548036757,-1.0308638053499855,0
2025-06-07,11.0,23.466666666666665,21.213032581453632,13.571428571428571,15.4,-0.8796914679567229,0,27.12380952380952,29.119999999999997,-1.8007576572439172,0,23.48585750089509,25.6766081871345,-1.5975554168575716,0
2025-06-08,11.0,23.466666666666665,21.213032581453632,13.142857142857142,14.8,-0.8543254933294402,0,26.514285714285712,28.586666666666666,-1.7327640136973823,0,23.107053347654844,25.278863826232243,-1.5415161343274646,0
2025-06-09,11.0,23.466666666666665,21.213032581453632,12.714285714285714,14.2,-0.830118066718641,0,25.9047619047619,28.05333333333333,-1.6707973149097017,0,22.72824919441461,24.881119465329988,-1.4891162737191777,0
2025-06-10,11.0,23.466666666666665,21.213032581453632,12.285714285714286,13.6,-0.8071541280922299,0,25.295238095238094,27.52,-1.61414821269788,0,22.349445041174363,24.483375104427733,-1.439931578726739,0
2025-06-11,11.0,23.466666666666665,21.213032581453632,11.857142857142858,13.0,-0.7938510800540741,0,24.685714285714283,26.986666666666668,-1.5710509800807868,0,21.970640887934117,24.085630743525478,-1.395440358242017,0
2025-06-12,11.0,23.466666666666665,21.213032581453632,11.428571428571429,12.4,-0.7851326902602122,0,24.076190476190472,26.45333333333333,-1.5327604894982447,0,21.591836734693874,23.68788638262322,-1.3533292555112288,0
2025-06-13,11.0,23.466666666666665,21.213032581453632,11.0,12.35,-0.7833565732564038,0,23.466666666666665,26.24,-1.4992768014091493,0,21.213032581453632,23.466917293233077,-1.3133618283288302,0
2025-06-14,10.0,26.666666666666664,25.19047619047619,10.857142857142858,12.25,-0.8439061222035361,0,23.923809523809524,26.186666666666667,-0.6022545036564865,0,21.781238811314,23.444820384294065,-0.47878478458980545,0
2025-06-15,10.0,26.666666666666664,25.19047619047619,10.714285714285714,12.15,-0.8816572801072413,0,24.38095238095238,26.133333333333333,-0.5790969268247032,0,22.349445041174363,23.42272347535505,-0.4718091766788777,0
2025-06-16,10.0,26.666666666666664,25.19047619047619,10.571428571428571,12.05,-0.9762358909552346,0,24.838095238095235,26.079999999999995,-0.556547855026679,0,22.917651271034725,23.400626566416037,-0.46487791091128544,0
2025-06-17,10.0,26.666666666666664,25.19047619047619,10.428571428571429,11.95,-1.2844797169191593,0,25.29523809523809,26.026666666666664,-0.5348175704110479,0,23.485857500895094,23.378529657477024,-0.45798980029448516,0
2025-06-18,10.0,26.666666666666664,25.19047619047619,10.285714285714286,11.85,-1.2471395012605504,0,25.75238095238095,25.97333333333333,-0.5348175704110467,0,24.054063730755463,23.35643274853801,-0.4544334107324193,0
2025-06-19,10.0,26.666666666666664,25.19047619047619,10.142857142857142,11.75,-1.2121597599441944,0,26.20952380952381,25.919999999999998,-0.5348175704110479,0,24.622269960615824,23.334335839598992,-0.4508898365119464,0
2025-06-20,10.0,26.666666666666664,25.19047619047619,10.0,11.55,-1.1794544024777138,0,26.666666666666664,25.866666666666664,-0.5348175704110479,0,25.19047619047619,23.400626566416037,-0.44735890580872617,0
2025-06-21,7.0,23.466666666666665,36.23893065998329,9.571428571428571,11.2,-1.4787791366887273,0,26.209523809523805,25.65333333333333,-1.5460937619409323,0,26.768826828977204,24.019340016708433,1.745810491287824,0
2025-06-22,7.0,23.466666666666665,36.23893065998329,9.142857142857142,10.85,-1.4407449209163419,0,25.75238095238095,25.439999999999998,-1.5021042076341407,0,28.347177467478218,24.638053467000834,1.6713522365916809,0
2025-06-23,7.0,23.466666666666665,36.23893065998329,8.714285714285714,10.5,-1.406615683172528,0,25.295238095238094,25.226666666666667,-1.4604687209788898,0,29.92552810597923,25.25676691729323,1.6029037328740037,0
2025-06-24,7.0,23.466666666666665,36.23893065998329,8.285714285714286,10.15,-1.3764566693745677,0,24.83809523809524,25.013333333333332,-1.4209612156474334,0,31.50387874448025,25.87548036758563,1.5396075746102302,0
2025-06-25,7.0,23.466666666666665,36.23893065998329,7.857142857142857,9.8,-1.327381393760302,0,24.380952380952376,24.799999999999997,-1.3794391166201363,0,33.08222938298126,26.494193817878028,1.4814038195505568,0
2025-06-26,7.0,23.466666666666665,36.23893065998329,7.428571428571429,9.45,-1.281021030200849,0,23.92380952380952,24.586666666666666,-1.340019467736935,0,34.660580021482275,27.11290726817042,1.4270190176175226,0
2025-06-27,7.0,23.466666666666665,36.23893065998329,7.0,9.25,-1.2370778276993668,0,23.466666666666665,24.586666666666666,-1.3025045232993324,0,36.23893065998329,27.864202172096906,1.3759880000312614,0
2025-06-28,7.0,24.0,44.193817878028405,7.0,9.05,-1.1952958905818645,0,23.54285714285714,24.613333333333333,-1.1177012743232133,0,37.37534311970402,29.013241436925647,2.5831057518437945,1
2025-06-29,7.0,24.0,44.193817878028405,7.0,8.85,-1.1554537673617549,0,23.619047619047617,24.639999999999997,-1.0910940219063143,0,38.51175557942475,30.162280701754383,2.4068929691159515,1
2025-06-30,7.0,24.0,44.193817878028405,7.0,8.65,-1.1173585864383522,0,23.695238095238093,24.666666666666664,-1.0653718668453527,0,39.64816803914549,31.31131996658312,2.2572123221116724,1
